city,state,lat,lng
Burbank,CA,34.1879,-118.3235
El Cajon,CA,32.8017,-116.9604
Columbia,MD,39.2004,-76.859
Rialto,CA,34.1175,-117.3892
Portsmouth,NH,43.058,-70.7826
Lee's Summit,MO,38.9171,-94.3816
Kingsport,TN,36.5224,-82.5454
Charlottesville,VA,38.0375,-78.4855
San Mateo,CA,37.5522,-122.3121
Vacaville,CA,38.3587,-121.9673
Wichita Falls,TX,33.9072,-98.5291
Longmont,CO,40.1686,-105.1005
Conroe,TX,30.3238,-95.4824
Fishers,IN,39.9588,-85.9659
Highlands Ranch,CO,39.5419,-104.9708
Quincy,MA,42.2506,-71.0187
Daly City,CA,37.6862,-122.4685
Lynn,MA,42.4781,-70.9664
Carmel,IN,39.965,-86.146
Hesperia,CA,34.3975,-117.3147
Bismarck,ND,46.8143,-100.7694
Santa Fe,NM,35.6619,-105.9819
Boca Raton,FL,26.3752,-80.108
Norwalk,CA,33.9069,-118.0829
San Angelo,TX,31.4424,-100.4504
Lafayette,CO,39.9946,-105.0998
Federal Way,WA,47.3091,-122.3358
Atascocita,TX,29.9777,-95.1953
Vista,CA,33.1896,-117.2386
Prescott Valley,AZ,34.598,-112.3185
Suffolk,VA,36.6953,-76.6398
Palm Coast,FL,29.5389,-81.2457
Williamsburg,VA,37.2693,-76.7076
Sunrise,FL,26.1547,-80.2997
Beaverton,OR,45.4779,-122.8168
Middletown,OH,39.5033,-84.3659
Lawrence,KS,38.9597,-95.2642
La Crosse,WI,43.8241,-91.2268
Portsmouth,VA,36.8468,-76.354
Orem,UT,40.2981,-111.6994
Tracy,CA,37.7269,-121.4523
Edmond,OK,35.6689,-97.416
Plantation,FL,26.1259,-80.2617
Fort Myers,FL,26.6194,-81.8302
Arden-Arcade,CA,38.6017,-121.3845
San Marcos,CA,33.135,-117.1743
San Germán,PR,18.0827,-67.046
Sandy,UT,40.5709,-111.8506
Manteca,CA,37.7927,-121.2264
Fall River,MA,41.7136,-71.1015
Mount Pleasant,SC,32.8537,-79.8203
Livonia,MI,42.3972,-83.3733
O'Fallon,MO,38.785,-90.7175
Rapid City,SD,44.0716,-103.2204
